method,score,unknown_group,threshold,auroc,known_test_acceptance,unknown_rejection,fpr_at_95_tpr
PROSER clip5,MLS,Near,-4.486236572265625,0.8123498750000001,0.9471,0.315,0.685
PROSER clip5,MLS,Far,-4.486236572265625,0.8703644375,0.9471,0.455,0.545
PROSER clip5,MLS,All,-4.486236572265625,0.84135715625,0.9471,0.385,0.615
PROSER clip5,Placeholder,Near,5.940570554230362e-05,0.8075536875,0.949,0.315,0.685
PROSER clip5,Placeholder,Far,5.940570554230362e-05,0.892557625,0.949,0.52125,0.47875
PROSER clip5,Placeholder,All,5.940570554230362e-05,0.8500556562499999,0.949,0.418125,0.581875
