method,photo_val_accuracy,photo_val_macro_f1,art_painting_val_accuracy,art_painting_val_macro_f1,cartoon_val_accuracy,cartoon_val_macro_f1,source_mean_accuracy,source_mean_macro_f1,source_worst_accuracy,source_worst_accuracy_domain,source_worst_macro_f1,source_worst_macro_f1_domain,sketch_accuracy,sketch_macro_f1,sketch_accuracy_delta_vs_erm,source_domain_separability,sharpness_loss_increase
dan_dg_0p1,0.9700598802395209,0.9663222785670128,0.9243902439024391,0.9249006813626284,0.9637526652452025,0.9674636699756498,0.9527342631290542,0.9528955433017637,0.9243902439024391,art_painting,0.9249006813626284,art_painting,0.7108679053194197,0.7199437158916623,0.1499109188088572,0.7906976744186046,0.11795517802238464
dan_dg,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.17270788912579957,cartoon,0.04207792207792208,cartoon,0.04072283023670145,0.011179820424134438,-0.520234156273861,0.584717607973422,0.010260343551635742
dan_dg_10,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.17270788912579957,cartoon,0.04207792207792208,cartoon,0.04072283023670145,0.011179820424134438,-0.520234156273861,0.5415282392026578,0.011190652847290039
