method,photo_val_accuracy,photo_val_macro_f1,art_painting_val_accuracy,art_painting_val_macro_f1,cartoon_val_accuracy,cartoon_val_macro_f1,source_mean_accuracy,source_mean_macro_f1,source_worst_accuracy,source_worst_accuracy_domain,source_worst_macro_f1,source_worst_macro_f1_domain,sketch_accuracy,sketch_macro_f1,sketch_accuracy_delta_vs_erm,source_domain_separability,sharpness_loss_increase
erm,0.9730538922155688,0.9693407895498838,0.9073170731707317,0.8994542418451278,0.9275053304904051,0.9313562915725451,0.9359587652922352,0.9333837743225187,0.9073170731707317,art_painting,0.8994542418451278,art_painting,0.5609569865105625,0.5744753419950606,0.0,0.8637873754152824,0.3340063691139221
dan_dg_0p1,0.9700598802395209,0.9663222785670128,0.9243902439024391,0.9249006813626284,0.9637526652452025,0.9674636699756498,0.9527342631290542,0.9528955433017637,0.9243902439024391,art_painting,0.9249006813626284,art_painting,0.7108679053194197,0.7199437158916623,0.1499109188088572,0.7906976744186046,0.11795517802238464
dan_dg,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.17270788912579957,cartoon,0.04207792207792208,cartoon,0.04072283023670145,0.011179820424134438,-0.520234156273861,0.584717607973422,0.010260343551635742
dan_dg_10,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.17270788912579957,cartoon,0.04207792207792208,cartoon,0.04072283023670145,0.011179820424134438,-0.520234156273861,0.5415282392026578,0.011190652847290039
sam,0.9700598802395209,0.9647398744552038,0.9390243902439024,0.9394167500897235,0.9616204690831557,0.9659495855541784,0.9569015798555264,0.9567020700330353,0.9390243902439024,art_painting,0.9394167500897235,art_painting,0.704504963094935,0.7465760570665536,0.14354797658437257,0.8637873754152824,0.11170361936092377
