method,actual,predicted,count
sam,giraffe,elephant,76
sam,giraffe,giraffe,486
sam,giraffe,guitar,7
sam,giraffe,horse,49
sam,giraffe,house,0
sam,giraffe,person,7
sam,guitar,dog,1
sam,guitar,elephant,59
sam,guitar,giraffe,9
sam,guitar,guitar,538
sam,guitar,horse,0
sam,guitar,house,0
sam,guitar,person,1
sam,horse,dog,148
sam,horse,elephant,168
sam,horse,giraffe,36
sam,horse,guitar,3
sam,horse,horse,456
sam,horse,house,0
sam,horse,person,5
sam,house,dog,0
sam,house,elephant,4
sam,house,giraffe,0
sam,house,guitar,0
sam,house,horse,0
sam,house,house,73
sam,house,person,3
sam,person,dog,4
sam,person,elephant,27
sam,person,giraffe,11
sam,person,guitar,0
sam,person,horse,0
sam,person,house,0
sam,person,person,118
