score,near_auroc,far_auroc,all_auroc,known_test_acceptance,near_rejection,far_rejection
MSP,0.826490625,0.9061144999999999,0.8663025625,0.95,0.29,0.46375
MLS,0.8117138125,0.907454,0.85958390625,0.9466,0.35625,0.5775
Energy,0.811665125,0.908119625,0.859892375,0.9444,0.36625,0.5875
Mahalanobis,0.8006873125,0.920101125,0.86039421875,0.9523,0.2675,0.5275
