method,score,cifar10_test_accuracy,near_auroc,far_auroc,all_auroc,known_test_acceptance,near_rejection,far_rejection
Vanilla,MLS,0.9467,0.8117138125,0.907454,0.85958390625,0.9466,0.35625,0.5775
GCSC,MLS,0.9535,0.8076315000000001,0.9078085,0.85772,0.9494,0.33,0.5775
PROSER,MLS,0.9407,0.8117184375000001,0.8707882499999999,0.8412533437499999,0.948,0.3125,0.455
PROSER,Placeholder,0.9407,0.8067395625,0.8927177500000001,0.84972865625,0.9484,0.31375,0.52125
