method,photo_val_accuracy,photo_val_macro_f1,art_painting_val_accuracy,art_painting_val_macro_f1,cartoon_val_accuracy,cartoon_val_macro_f1,source_val_mean_accuracy,source_val_mean_macro_f1,target_accuracy,target_macro_f1,target_accuracy_delta_vs_source_only,domain_probe_accuracy
source_only,0.9730538922155688,0.9693407895498838,0.9073170731707317,0.8994542418451278,0.9275053304904051,0.9313562915725451,0.9359587652922352,0.9333837743225187,0.5609569865105625,0.5744753419950606,0.0,0.9958791208791209
dan_0p1,0.9760479041916168,0.9723403700540688,0.9195121951219513,0.9193140190930735,0.9466950959488273,0.9491572260349272,0.9474183984207984,0.9469372050606899,0.687197760244337,0.6349078516304606,0.12624077373377451,0.9656593406593407
dan,0.4161676646706587,0.1924384810879424,0.14634146341463414,0.03915925344496773,0.12366737739872068,0.0314448359989157,0.22872550182800452,0.08768085684394195,0.020361415118350726,0.005701457435056837,-0.5405955713922117,0.6483516483516484
dan_10,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.04072283023670145,0.011179820424134438,-0.520234156273861,0.8021978021978022
dann,0.4041916167664671,0.16973657799345873,0.25853658536585367,0.1079572624028691,0.21961620469083157,0.10502986643877513,0.2941148022743841,0.1275745689450343,0.040213794858742685,0.021699738084680165,-0.5207431916518198,0.9986263736263736
cdan,0.9341317365269461,0.9266409381835982,0.8804878048780488,0.8809022373312535,0.9040511727078892,0.9076737204209737,0.9062235713709614,0.9050722986452752,0.34894375159073554,0.4201117860255235,-0.21201323491982693,0.9945054945054945
