method,actual,predicted,count
cdan,dog,dog,225
cdan,dog,elephant,0
cdan,dog,giraffe,0
cdan,dog,guitar,0
cdan,dog,horse,11
cdan,dog,house,2
cdan,dog,person,534
cdan,elephant,dog,289
cdan,elephant,elephant,1
cdan,elephant,giraffe,0
cdan,elephant,guitar,0
cdan,elephant,horse,8
cdan,elephant,house,2
cdan,elephant,person,440
cdan,giraffe,dog,153
cdan,giraffe,elephant,0
cdan,giraffe,giraffe,119
cdan,giraffe,guitar,14
cdan,giraffe,horse,27
cdan,giraffe,house,6
cdan,giraffe,person,434
cdan,guitar,dog,2
cdan,guitar,elephant,0
cdan,guitar,giraffe,1
cdan,guitar,guitar,529
cdan,guitar,horse,0
cdan,guitar,house,3
cdan,guitar,person,73
cdan,horse,dog,325
cdan,horse,elephant,0
cdan,horse,giraffe,1
cdan,horse,guitar,0
cdan,horse,horse,257
cdan,horse,house,10
cdan,horse,person,223
cdan,house,dog,0
cdan,house,elephant,0
cdan,house,giraffe,0
cdan,house,guitar,0
cdan,house,horse,0
cdan,house,house,80
cdan,house,person,0
cdan,person,dog,0
cdan,person,elephant,0
cdan,person,giraffe,0
cdan,person,guitar,0
cdan,person,horse,0
cdan,person,house,0
cdan,person,person,160
