method,source_mean_accuracy,source_mean_macro_f1,source_worst_accuracy,source_worst_macro_f1,sketch_accuracy,sketch_macro_f1,sketch_accuracy_delta_vs_erm,source_domain_separability,sharpness_loss_increase
erm,0.9359587652922352,0.9333837743225187,0.9073170731707317,0.8994542418451278,0.5609569865105625,0.5744753419950606,0.0,0.8637873754152824,0.334006130695343
dan_dg_clip5,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.04072283023670145,0.011179820424134438,-0.520234156273861,0.5913621262458472,0.008803963661193848
dan_dg_norm_clip5,0.930374645165958,0.9284495209162151,0.9,0.8959389057676767,0.6261135148892848,0.6321391722862186,0.06515652837872232,0.6611295681063123,46.90509033203125
