method,best_epoch,source_val_mean_accuracy,source_val_mean_macro_f1,target_accuracy,target_macro_f1,target_accuracy_delta_vs_source_only,domain_probe_accuracy
dan_clip5,9,0.9344832930218403,0.9331032550323184,0.6406210231611097,0.598189962322954,0.07966403665054722,0.8214285714285714
dann_clip5,1,0.6637283133042251,0.592856034669401,0.05930262153219649,0.03633323169386961,-0.501654364978366,0.9986263736263736
cdan_clip5,11,0.9300970683314841,0.9313440149041498,0.6826164418427081,0.6277426613019593,0.12165945533214562,0.9752747252747253
